[2023-10-15 19:27:41] No settings files found: C:/Games/Mindustry/saves/settings.bin and C:/Games/Mindustry/saves/settings_backup.bin
[2024-06-06 05:12:05] Saving 910 values; 37335 bytes
[2024-06-06 05:13:05] Saving 910 values; 37335 bytes
[2024-06-06 05:14:05] Saving 910 values; 37335 bytes
[2024-06-06 05:15:05] Saving 910 values; 37335 bytes
[2024-06-06 05:16:05] Saving 910 values; 37335 bytes
[2024-06-06 05:17:05] Saving 910 values; 37335 bytes
[2024-06-06 05:18:05] Saving 910 values; 37335 bytes
[2024-06-06 05:19:05] Saving 910 values; 37335 bytes
[2024-06-06 05:20:05] Saving 910 values; 37335 bytes
[2024-06-06 05:21:05] Saving 910 values; 37335 bytes
[2024-06-06 05:22:05] Saving 910 values; 37335 bytes
[2024-06-06 05:23:05] Saving 910 values; 37335 bytes
[2024-06-06 05:24:05] Saving 910 values; 37335 bytes
[2024-06-06 05:25:05] Saving 910 values; 37335 bytes
[2024-06-06 05:26:05] Saving 910 values; 37335 bytes
